Loading configuration : configs/config-2.4.txt
Reading file
Created Node 0: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20ClientSR_DT
Created Node 1: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20Server
Added link to node 0 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.1 up
Added link to node 1 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.1 up

simulation starts - first processing step with clock = 0

log: FT20-ClienteSR-DT time 0 node 0 SENDING: UPLOAD<earth.jpg, 0>
log:    FT20-Server time 20 node 1 GOT: UPLOAD<earth.jpg, 0>
log:    FT20-Server time 128 node 1 GOT: DATA<15, 101, len: 1000>
log:    FT20-Server time 128 node 1 SENDING: ACK<6, 15, 101>
log:    FT20-Server time 132 node 1 GOT: DATA<16, 104, len: 1000>
log:    FT20-Server time 132 node 1 SENDING: ACK<6, 16, 104>
log: FT20-ClienteSR-DT time 134 node 0 TIMEOUT...
log: FT20-ClienteSR-DT time 134 node 0 SENDING: DATA<12, 134, len: 1000>
log: FT20-ClienteSR-DT time 136 node 0 GOT: ACK<6, 13, 92>
log: FT20-ClienteSR-DT time 144 node 0 GOT: ACK<6, 14, 100>
log: FT20-ClienteSR-DT time 147 node 0 TIMEOUT...
log: FT20-ClienteSR-DT time 147 node 0 SENDING: DATA<7, 147, len: 1000>
log: FT20-ClienteSR-DT time 148 node 0 GOT: ACK<6, 15, 101>
log: FT20-ClienteSR-DT time 152 node 0 GOT: ACK<6, 16, 104>
log:    FT20-Server time 158 node 1 GOT: DATA<12, 134, len: 1000>
log:    FT20-Server time 158 node 1 SENDING: ACK<6, 12, 134>
log: FT20-ClienteSR-DT time 178 node 0 GOT: ACK<6, 12, 134>
log: FT20-ClienteSR-DT time 207 node 0 TIMEOUT...
log: FT20-ClienteSR-DT time 207 node 0 SENDING: DATA<7, 207, len: 1000>
log:    FT20-Server time 231 node 1 GOT: DATA<7, 207, len: 1000>
log:    FT20-Server time 231 node 1 SENDING: ACK<16, 7, 207>
log: FT20-ClienteSR-DT time 263 node 0 TIMEOUT...
log: FT20-ClienteSR-DT time 263 node 0 SENDING: DATA<7, 263, len: 1000>
log:    FT20-Server time 287 node 1 GOT: DATA<7, 263, len: 1000>
log:    FT20-Server time 287 node 1 SENDING: ACK<16, -1, 263>
log: FT20-ClienteSR-DT time 319 node 0 TIMEOUT...
log: FT20-ClienteSR-DT time 319 node 0 SENDING: DATA<7, 319, len: 1000>
log:    FT20-Server time 343 node 1 GOT: DATA<7, 319, len: 1000>
log:    FT20-Server time 343 node 1 SENDING: ACK<16, -1, 319>
log: FT20-ClienteSR-DT time 363 node 0 GOT: ACK<16, -1, 319>
log: FT20-ClienteSR-DT time 363 node 0 SENDING: DATA<17, 363, len: 1000>
log: FT20-ClienteSR-DT time 364 node 0 SENDING: DATA<18, 364, len: 1000>
log: FT20-ClienteSR-DT time 365 node 0 SENDING: DATA<19, 365, len: 1000>
log: FT20-ClienteSR-DT time 366 node 0 SENDING: DATA<20, 366, len: 1000>
log: FT20-ClienteSR-DT time 367 node 0 SENDING: DATA<21, 367, len: 1000>
log: FT20-ClienteSR-DT time 368 node 0 SENDING: DATA<22, 368, len: 1000>
log: FT20-ClienteSR-DT time 369 node 0 SENDING: DATA<23, 369, len: 1000>
log: FT20-ClienteSR-DT time 370 node 0 SENDING: DATA<24, 370, len: 1000>
log: FT20-ClienteSR-DT time 371 node 0 SENDING: DATA<25, 371, len: 1000>
log: FT20-ClienteSR-DT time 372 node 0 SENDING: DATA<26, 372, len: 1000>
log:    FT20-Server time 387 node 1 GOT: DATA<17, 363, len: 1000>
log:    FT20-Server time 387 node 1 SENDING: ACK<17, 17, 363>
log:    FT20-Server time 391 node 1 GOT: DATA<18, 364, len: 1000>
log:    FT20-Server time 391 node 1 SENDING: ACK<18, 18, 364>
log:    FT20-Server time 395 node 1 GOT: DATA<19, 365, len: 1000>
log:    FT20-Server time 395 node 1 SENDING: ACK<19, 19, 365>
log:    FT20-Server time 399 node 1 GOT: DATA<20, 366, len: 1000>
log:    FT20-Server time 399 node 1 SENDING: ACK<20, 20, 366>
log:    FT20-Server time 403 node 1 GOT: DATA<21, 367, len: 1000>
log:    FT20-Server time 403 node 1 SENDING: ACK<21, 21, 367>
log: FT20-ClienteSR-DT time 407 node 0 GOT: ACK<17, 17, 363>
log: FT20-ClienteSR-DT time 407 node 0 SENDING: DATA<27, 407, len: 1000>
