Loading configuration : configs/config-2.3.txt
Reading file
Created Node 0: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20ClientSR
Created Node 1: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20Server
Added link to node 0 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.0 up
Added link to node 1 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.0 up

simulation starts - first processing step with clock = 0

log: FT20-ClienteSR time 0 node 0 SENDING: UPLOAD<earth.jpg, 0>
log:    FT20-Server time 20 node 1 GOT: UPLOAD<earth.jpg, 0>
log: FT20-ClienteSR time 2243 node 0 SENDING: DATA<42, 2243, len: 1000>
log:    FT20-Server time 2247 node 1 GOT: DATA<37, 2223, len: 1000>
log:    FT20-Server time 2247 node 1 SENDING: ACK<35, 37, 2223>
log: FT20-ClienteSR time 2251 node 0 GOT: ACK<34, 34, 2188>
log: FT20-ClienteSR time 2251 node 0 SENDING: DATA<43, 2251, len: 1000>
log: FT20-ClienteSR time 2252 node 0 SENDING: DATA<44, 2252, len: 1000>
log: FT20-ClienteSR time 2255 node 0 GOT: ACK<35, 35, 2189>
log: FT20-ClienteSR time 2255 node 0 SENDING: DATA<45, 2255, len: 1000>
log:    FT20-Server time 2259 node 1 GOT: DATA<39, 2235, len: 1000>
log:    FT20-Server time 2259 node 1 SENDING: ACK<35, 39, 2235>
log:    FT20-Server time 2263 node 1 GOT: DATA<40, 2236, len: 1000>
log:    FT20-Server time 2263 node 1 SENDING: ACK<35, 40, 2236>
log:    FT20-Server time 2267 node 1 GOT: DATA<41, 2239, len: 1000>
log:    FT20-Server time 2267 node 1 SENDING: ACK<35, 41, 2239>
log:    FT20-Server time 2271 node 1 GOT: DATA<42, 2243, len: 1000>
log:    FT20-Server time 2271 node 1 SENDING: ACK<35, 42, 2243>
log:    FT20-Server time 2275 node 1 GOT: DATA<43, 2251, len: 1000>
log:    FT20-Server time 2275 node 1 SENDING: ACK<35, 43, 2251>
log: FT20-ClienteSR time 2279 node 0 GOT: ACK<35, 39, 2235>
log:    FT20-Server time 2279 node 1 GOT: DATA<44, 2252, len: 1000>
log:    FT20-Server time 2279 node 1 SENDING: ACK<35, 44, 2252>
log: FT20-ClienteSR time 2283 node 0 GOT: ACK<35, 40, 2236>
