Loading configuration : configs/config-2.2.txt
Reading file
Created Node 0: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20ClientGBN
Created Node 1: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20Server
Added link to node 0 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.0 up
Added link to node 1 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.0 up

simulation starts - first processing step with clock = 0

log: FT20-ClienteGBN time 0 node 0 SENDING: UPLOAD<earth.jpg, 0>
log:    FT20-Server time 20 node 1 GOT: UPLOAD<earth.jpg, 0>
log: FT20-ClienteGBN time 2192 node 0 SENDING: DATA<19, 2192, len: 1000>
log: FT20-ClienteGBN time 2193 node 0 SENDING: DATA<20, 2193, len: 1000>
log: FT20-ClienteGBN time 2194 node 0 SENDING: DATA<21, 2194, len: 1000>
log: FT20-ClienteGBN time 2195 node 0 SENDING: DATA<22, 2195, len: 1000>
log: FT20-ClienteGBN time 2196 node 0 SENDING: DATA<23, 2196, len: 1000>
log: FT20-ClienteGBN time 2197 node 0 SENDING: DATA<24, 2197, len: 1000>
log: FT20-ClienteGBN time 2198 node 0 SENDING: DATA<25, 2198, len: 1000>
log: FT20-ClienteGBN time 2199 node 0 SENDING: DATA<26, 2199, len: 1000>
log: FT20-ClienteGBN time 2200 node 0 SENDING: DATA<27, 2200, len: 1000>
log:    FT20-Server time 2216 node 1 GOT: DATA<18, 2192, len: 1000>
log:    FT20-Server time 2216 node 1 SENDING: ACK<18, 18, 2192>
log:    FT20-Server time 2220 node 1 GOT: DATA<19, 2192, len: 1000>
log:    FT20-Server time 2220 node 1 SENDING: ACK<27, 19, 2192>
log:    FT20-Server time 2224 node 1 GOT: DATA<21, 2194, len: 1000>
log:    FT20-Server time 2224 node 1 SENDING: ACK<27, -1, 2194>
log:    FT20-Server time 2228 node 1 GOT: DATA<22, 2195, len: 1000>
log:    FT20-Server time 2228 node 1 SENDING: ACK<27, -1, 2195>
log:    FT20-Server time 2232 node 1 GOT: DATA<24, 2197, len: 1000>
log:    FT20-Server time 2232 node 1 SENDING: ACK<27, -1, 2197>
log:    FT20-Server time 2236 node 1 GOT: DATA<25, 2198, len: 1000>
log:    FT20-Server time 2236 node 1 SENDING: ACK<27, -1, 2198>
log:    FT20-Server time 2240 node 1 GOT: DATA<26, 2199, len: 1000>
log:    FT20-Server time 2240 node 1 SENDING: ACK<27, -1, 2199>
log: FT20-ClienteGBN time 2244 node 0 GOT: ACK<27, -1, 2194>
log: FT20-ClienteGBN time 2244 node 0 SENDING: DATA<28, 2244, len: 1000>
log:    FT20-Server time 2244 node 1 GOT: DATA<27, 2200, len: 1000>
log:    FT20-Server time 2244 node 1 SENDING: ACK<27, -1, 2200>
log: FT20-ClienteGBN time 2245 node 0 SENDING: DATA<29, 2245, len: 1000>
log: FT20-ClienteGBN time 2246 node 0 SENDING: DATA<30, 2246, len: 1000>
log: FT20-ClienteGBN time 2247 node 0 SENDING: DATA<31, 2247, len: 1000>
log: FT20-ClienteGBN time 2248 node 0 GOT: ACK<27, -1, 2195>
log: FT20-ClienteGBN time 2248 node 0 SENDING: DATA<32, 2248, len: 1000>
log: FT20-ClienteGBN time 2249 node 0 SENDING: DATA<33, 2249, len: 1000>
log: FT20-ClienteGBN time 2250 node 0 SENDING: DATA<34, 2250, len: 1000>
log: FT20-ClienteGBN time 2251 node 0 SENDING: DATA<35, 2251, len: 1000>
log: FT20-ClienteGBN time 2252 node 0 GOT: ACK<27, -1, 2197>
log: FT20-ClienteGBN time 2252 node 0 SENDING: DATA<36, 2252, len: 1000>
log: FT20-ClienteGBN time 2253 node 0 SENDING: DATA<37, 2253, len: 1000>
log: FT20-ClienteGBN time 2256 node 0 GOT: ACK<27, -1, 2198>
log: FT20-ClienteGBN time 2260 node 0 GOT: ACK<27, -1, 2199>
log:    FT20-Server time 2268 node 1 GOT: DATA<28, 2244, len: 1000>
log:    FT20-Server time 2268 node 1 SENDING: ACK<28, 28, 2244>
log:    FT20-Server time 2272 node 1 GOT: DATA<29, 2245, len: 1000>
log:    FT20-Server time 2272 node 1 SENDING: ACK<29, 29, 2245>
log:    FT20-Server time 2276 node 1 GOT: DATA<30, 2246, len: 1000>
log:    FT20-Server time 2276 node 1 SENDING: ACK<30, 30, 2246>
log:    FT20-Server time 2280 node 1 GOT: DATA<31, 2247, len: 1000>
log:    FT20-Server time 2280 node 1 SENDING: ACK<31, 31, 2247>
log:    FT20-Server time 2284 node 1 GOT: DATA<32, 2248, len: 1000>
log:    FT20-Server time 2284 node 1 SENDING: ACK<32, 32, 2248>
log: FT20-ClienteGBN time 2288 node 0 GOT: ACK<28, 28, 2244>
log: FT20-ClienteGBN time 2288 node 0 SENDING: DATA<38, 2288, len: 1000>
log:    FT20-Server time 2288 node 1 GOT: DATA<33, 2249, len: 1000>
log:    FT20-Server time 2288 node 1 SENDING: ACK<33, 33, 2249>
log: FT20-ClienteGBN time 2292 node 0 GOT: ACK<29, 29, 2245>
log: FT20-ClienteGBN time 2292 node 0 SENDING: DATA<39, 2292, len: 1000>
log:    FT20-Server time 2292 node 1 GOT: DATA<34, 2250, len: 1000>
log:    FT20-Server time 2292 node 1 SENDING: ACK<34, 34, 2250>
log:    FT20-Server time 2296 node 1 GOT: DATA<35, 2251, len: 1000>
log:    FT20-Server time 2296 node 1 SENDING: ACK<35, 35, 2251>
log:    FT20-Server time 2300 node 1 GOT: DATA<36, 2252, len: 1000>
log:    FT20-Server time 2300 node 1 SENDING: ACK<36, 36, 2252>
log: FT20-ClienteGBN time 2304 node 0 GOT: ACK<32, 32, 2248>
log: FT20-ClienteGBN time 2304 node 0 SENDING: DATA<40, 2304, len: 1000>
log:    FT20-Server time 2304 node 1 GOT: DATA<37, 2253, len: 1000>
log:    FT20-Server time 2304 node 1 SENDING: ACK<37, 37, 2253>
log: FT20-ClienteGBN time 2305 node 0 SENDING: DATA<41, 2305, len: 1000>
log: FT20-ClienteGBN time 2306 node 0 SENDING: DATA<42, 2306, len: 1000>
log: FT20-ClienteGBN time 2308 node 0 GOT: ACK<33, 33, 2249>
log: FT20-ClienteGBN time 2308 node 0 SENDING: DATA<43, 2308, len: 1000>
log: FT20-ClienteGBN time 2312 node 0 GOT: ACK<34, 34, 2250>
log: FT20-ClienteGBN time 2312 node 0 SENDING: DATA<44, 2312, len: 1000>
log:    FT20-Server time 2312 node 1 GOT: DATA<38, 2288, len: 1000>
log:    FT20-Server time 2312 node 1 SENDING: ACK<38, 38, 2288>
log: FT20-ClienteGBN time 2316 node 0 GOT: ACK<35, 35, 2251>
log: FT20-ClienteGBN time 2316 node 0 SENDING: DATA<45, 2316, len: 1000>
log: FT20-ClienteGBN time 2320 node 0 GOT: ACK<36, 36, 2252>
log: FT20-ClienteGBN time 2320 node 0 SENDING: DATA<46, 2320, len: 1000>
log: FT20-ClienteGBN time 2324 node 0 GOT: ACK<37, 37, 2253>
log: FT20-ClienteGBN time 2324 node 0 SENDING: DATA<47, 2324, len: 1000>
log:    FT20-Server time 2328 node 1 GOT: DATA<40, 2304, len: 1000>
log:    FT20-Server time 2328 node 1 SENDING: ACK<38, 40, 2304>
log:    FT20-Server time 2332 node 1 GOT: DATA<41, 2305, len: 1000>
log:    FT20-Server time 2332 node 1 SENDING: ACK<38, 41, 2305>
log:    FT20-Server time 2336 node 1 GOT: DATA<42, 2306, len: 1000>
log:    FT20-Server time 2336 node 1 SENDING: ACK<38, 42, 2306>
log:    FT20-Server time 2340 node 1 GOT: DATA<44, 2312, len: 1000>
log:    FT20-Server time 2340 node 1 SENDING: ACK<38, 44, 2312>
log:    FT20-Server time 2344 node 1 GOT: DATA<45, 2316, len: 1000>
log:    FT20-Server time 2344 node 1 SENDING: ACK<38, 45, 2316>
log: FT20-ClienteGBN time 2348 node 0 GOT: ACK<38, 40, 2304>
log: FT20-ClienteGBN time 2348 node 0 SENDING: DATA<48, 2348, len: 1000>
log:    FT20-Server time 2348 node 1 GOT: DATA<46, 2320, len: 1000>
log:    FT20-Server time 2348 node 1 SENDING: ACK<38, 46, 2320>
log: FT20-ClienteGBN time 2352 node 0 GOT: ACK<38, 41, 2305>
log: FT20-ClienteGBN time 2356 node 0 GOT: ACK<38, 42, 2306>
log: FT20-ClienteGBN time 2360 node 0 GOT: ACK<38, 44, 2312>
log: FT20-ClienteGBN time 2364 node 0 GOT: ACK<38, 45, 2316>
log: FT20-ClienteGBN time 2368 node 0 GOT: ACK<38, 46, 2320>
log: FT20-ClienteGBN time 3348 node 0 TIMEOUT...
log: FT20-ClienteGBN time 3348 node 0 SENDING: DATA<39, 3348, len: 1000>
log: FT20-ClienteGBN time 3348 node 0 SENDING: DATA<40, 3348, len: 1000>
log: FT20-ClienteGBN time 3349 node 0 SENDING: DATA<41, 3349, len: 1000>
log: FT20-ClienteGBN time 3350 node 0 SENDING: DATA<42, 3350, len: 1000>
log: FT20-ClienteGBN time 3351 node 0 SENDING: DATA<43, 3351, len: 1000>
log: FT20-ClienteGBN time 3352 node 0 SENDING: DATA<44, 3352, len: 1000>
log: FT20-ClienteGBN time 3353 node 0 SENDING: DATA<45, 3353, len: 1000>
log: FT20-ClienteGBN time 3354 node 0 SENDING: DATA<46, 3354, len: 1000>
log: FT20-ClienteGBN time 3355 node 0 SENDING: DATA<47, 3355, len: 1000>
log: FT20-ClienteGBN time 3356 node 0 SENDING: DATA<48, 3356, len: 1000>
log:    FT20-Server time 3372 node 1 GOT: DATA<39, 3348, len: 1000>
log:    FT20-Server time 3372 node 1 SENDING: ACK<42, 39, 3348>
log:    FT20-Server time 3376 node 1 GOT: DATA<40, 3348, len: 1000>
log:    FT20-Server time 3376 node 1 SENDING: ACK<42, -1, 3348>
log:    FT20-Server time 3380 node 1 GOT: DATA<41, 3349, len: 1000>
log:    FT20-Server time 3380 node 1 SENDING: ACK<42, -1, 3349>
log:    FT20-Server time 3384 node 1 GOT: DATA<42, 3350, len: 1000>
log:    FT20-Server time 3384 node 1 SENDING: ACK<42, -1, 3350>
log:    FT20-Server time 3388 node 1 GOT: DATA<43, 3351, len: 1000>
log:    FT20-Server time 3388 node 1 SENDING: ACK<46, 43, 3351>
log: FT20-ClienteGBN time 3392 node 0 GOT: ACK<42, 39, 3348>
log: FT20-ClienteGBN time 3392 node 0 SENDING: DATA<49, 3392, len: 1000>
log:    FT20-Server time 3392 node 1 GOT: DATA<44, 3352, len: 1000>
log:    FT20-Server time 3392 node 1 SENDING: ACK<46, -1, 3352>
log: FT20-ClienteGBN time 3393 node 0 SENDING: DATA<50, 3393, len: 1000>
log: FT20-ClienteGBN time 3394 node 0 SENDING: DATA<51, 3394, len: 1000>
log: FT20-ClienteGBN time 3395 node 0 SENDING: DATA<52, 3395, len: 1000>
log:    FT20-Server time 3396 node 1 GOT: DATA<45, 3353, len: 1000>
log:    FT20-Server time 3396 node 1 SENDING: ACK<46, -1, 3353>
log: FT20-ClienteGBN time 3400 node 0 GOT: ACK<42, -1, 3349>
log:    FT20-Server time 3400 node 1 GOT: DATA<46, 3354, len: 1000>
log:    FT20-Server time 3400 node 1 SENDING: ACK<46, -1, 3354>
log: FT20-ClienteGBN time 3404 node 0 GOT: ACK<42, -1, 3350>
log:    FT20-Server time 3404 node 1 GOT: DATA<47, 3355, len: 1000>
log:    FT20-Server time 3404 node 1 SENDING: ACK<47, 47, 3355>
log: FT20-ClienteGBN time 3408 node 0 GOT: ACK<46, 43, 3351>
log: FT20-ClienteGBN time 3408 node 0 SENDING: DATA<53, 3408, len: 1000>
log:    FT20-Server time 3408 node 1 GOT: DATA<48, 3356, len: 1000>
log:    FT20-Server time 3408 node 1 SENDING: ACK<48, 48, 3356>
log: FT20-ClienteGBN time 3409 node 0 SENDING: DATA<54, 3409, len: 1000>
log: FT20-ClienteGBN time 3410 node 0 SENDING: DATA<55, 3410, len: 1000>
log: FT20-ClienteGBN time 3411 node 0 SENDING: DATA<56, 3411, len: 1000>
log: FT20-ClienteGBN time 3412 node 0 GOT: ACK<46, -1, 3352>
log: FT20-ClienteGBN time 3416 node 0 GOT: ACK<46, -1, 3353>
log:    FT20-Server time 3416 node 1 GOT: DATA<49, 3392, len: 1000>
log:    FT20-Server time 3416 node 1 SENDING: ACK<49, 49, 3392>
log: FT20-ClienteGBN time 3420 node 0 GOT: ACK<46, -1, 3354>
log:    FT20-Server time 3420 node 1 GOT: DATA<50, 3393, len: 1000>
log:    FT20-Server time 3420 node 1 SENDING: ACK<50, 50, 3393>
log: FT20-ClienteGBN time 3424 node 0 GOT: ACK<47, 47, 3355>
log: FT20-ClienteGBN time 3424 node 0 SENDING: DATA<57, 3424, len: 1000>
log:    FT20-Server time 3424 node 1 GOT: DATA<51, 3394, len: 1000>
log:    FT20-Server time 3424 node 1 SENDING: ACK<51, 51, 3394>
log: FT20-ClienteGBN time 3428 node 0 GOT: ACK<48, 48, 3356>
log: FT20-ClienteGBN time 3428 node 0 SENDING: DATA<58, 3428, len: 1000>
log:    FT20-Server time 3428 node 1 GOT: DATA<52, 3395, len: 1000>
log:    FT20-Server time 3428 node 1 SENDING: ACK<52, 52, 3395>
log:    FT20-Server time 3432 node 1 GOT: DATA<53, 3408, len: 1000>
log:    FT20-Server time 3432 node 1 SENDING: ACK<53, 53, 3408>
log: FT20-ClienteGBN time 3436 node 0 GOT: ACK<49, 49, 3392>
log: FT20-ClienteGBN time 3436 node 0 SENDING: DATA<59, 3436, len: 1000>
log:    FT20-Server time 3436 node 1 GOT: DATA<54, 3409, len: 1000>
log:    FT20-Server time 3436 node 1 SENDING: ACK<54, 54, 3409>
log: FT20-ClienteGBN time 3440 node 0 GOT: ACK<50, 50, 3393>
log: FT20-ClienteGBN time 3440 node 0 SENDING: DATA<60, 3440, len: 1000>
log:    FT20-Server time 3440 node 1 GOT: DATA<55, 3410, len: 1000>
log:    FT20-Server time 3440 node 1 SENDING: ACK<55, 55, 3410>
log: FT20-ClienteGBN time 3444 node 0 GOT: ACK<51, 51, 3394>
log: FT20-ClienteGBN time 3444 node 0 SENDING: DATA<61, 3444, len: 1000>
log:    FT20-Server time 3444 node 1 GOT: DATA<56, 3411, len: 1000>
log:    FT20-Server time 3444 node 1 SENDING: ACK<56, 56, 3411>
log:    FT20-Server time 3448 node 1 GOT: DATA<57, 3424, len: 1000>
log:    FT20-Server time 3448 node 1 SENDING: ACK<57, 57, 3424>
log: FT20-ClienteGBN time 3452 node 0 GOT: ACK<53, 53, 3408>
log: FT20-ClienteGBN time 3452 node 0 SENDING: DATA<62, 3452, len: 1000>
log:    FT20-Server time 3452 node 1 GOT: DATA<58, 3428, len: 1000>
log:    FT20-Server time 3452 node 1 SENDING: ACK<58, 58, 3428>
log: FT20-ClienteGBN time 3453 node 0 SENDING: DATA<63, 3453, len: 1000>
log: FT20-ClienteGBN time 3456 node 0 GOT: ACK<54, 54, 3409>
log: FT20-ClienteGBN time 3456 node 0 SENDING: DATA<64, 3456, len: 1000>
log: FT20-ClienteGBN time 3460 node 0 GOT: ACK<55, 55, 3410>
log: FT20-ClienteGBN time 3460 node 0 SENDING: DATA<65, 3460, len: 1000>
log:    FT20-Server time 3460 node 1 GOT: DATA<59, 3436, len: 1000>
log:    FT20-Server time 3460 node 1 SENDING: ACK<59, 59, 3436>
log: FT20-ClienteGBN time 3464 node 0 GOT: ACK<56, 56, 3411>
log:    FT20-Server time 3464 node 1 GOT: DATA<60, 3440, len: 1000>
log:    FT20-Server time 3464 node 1 SENDING: ACK<60, 60, 3440>
log: FT20-ClienteGBN time 3468 node 0 GOT: ACK<57, 57, 3424>
log:    FT20-Server time 3468 node 1 GOT: DATA<61, 3444, len: 1000>
log:    FT20-Server time 3468 node 1 SENDING: ACK<61, 61, 3444>
log:    FT20-Server time 3476 node 1 GOT: DATA<62, 3452, len: 1000>
log:    FT20-Server time 3476 node 1 SENDING: ACK<62, 62, 3452>
